group	SYMBOL.Mm	Species
Liver	Lect2	Rat
Ileum	Asah2	Rat
Duodenum	Asah2	Rat
Jejunum	Asah2	Rat
Kidney	Cdh16	Rat
Kidney	Dmtn	Rat
Brain	Dmtn	Rat
Heart	Mybpc3	Rat
Liver	Keg1	Rat
Kidney	Keg1	Rat
Stomach	Npw	Rat
Liver	Thrsp	Rat
Kidney	Msra	Rat
Kidney	Cyp2e1	Rat
Liver	Cyp2e1	Rat
Heart	Ndrg4	Rat
Brain	Ndrg4	Rat
Duodenum	2310057J18Rik	Rat
Jejunum	2310057J18Rik	Rat
Liver	F13b	Rat
Brain	Syngr3	Rat
Kidney	Dpp7	Rat
Brain	Spock1	Rat
Liver	Grhpr	Rat
Kidney	Grhpr	Rat
Brain	Vps41	Rat
Liver	Akr1d1	Rat
Brain	Tusc3	Rat
Liver	Clec4f	Rat
Brain	Zcchc12	Rat
Kidney	Tex264	Rat
Ileum	Arhgap45	Rat
Kidney	Fah	Rat
Liver	Fah	Rat
Esophagus	Myl1	Rat
Quadriceps	Myl1	Rat
Duodenum	Olfm4	Rat
Jejunum	Olfm4	Rat
Ileum	Olfm4	Rat
Brain	Nrip3	Rat
Liver	Cyp2c23	Rat
Kidney	Cyp2c23	Rat
Liver	Arg1	Rat
Pancreas	2210010C04Rik	Rat
Kidney	Gclm	Rat
Kidney	Hykk	Rat
Kidney	Atp6v0a4	Rat
Liver	Cpn1	Rat
Esophagus	Crisp3	Rat
Esophagus	Crisp1	Rat
Liver	Scd1	Rat
Pancreas	Cela2a	Rat
Brain	Stmn3	Rat
Brain	Nefl	Rat
Liver	F11	Rat
Liver	C9	Rat
Kidney	Plpbp	Rat
Brain	Elavl3	Rat
Esophagus	Wfdc5	Rat
Kidney	Defb1	Rat
Duodenum	Enpp3	Rat
Jejunum	Enpp3	Rat
Kidney	Rbp1	Rat
Liver	Rbp1	Rat
Kidney	Ces2c	Rat
Esophagus	Bpifa5	Rat
Kidney	Nox4	Rat
Ileum	Rbp2	Rat
Duodenum	Rbp2	Rat
Jejunum	Rbp2	Rat
Esophagus	Defb3	Rat
Esophagus	Defb4	Rat
Kidney	Alpl	Rat
Brain	Ptpn5	Rat
Duodenum	Hsd17b2	Rat
Jejunum	Hsd17b2	Rat
Brain	Rasgrf1	Rat
